date_start,driver_number,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,lap_number,meeting_key,segments_sector_1,segments_sector_2,segments_sector_3,session_key,st_speed
2025-02-27T12:57:58.826000+00:00,4,29.75,39.784,23.229,234,267,False,92.763,2,1253,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048, 0]",9684,308
2025-02-27T07:03:32.182000+00:00,27,31.085,41.841,24.034,230,257,False,96.96,3,1253,"[None, 2051, 2051, 2049, 2051, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048, 2048, 2051, 2049, 2049, 2049]","[2048, 2048, 2048, 2048, 2048, 2049, 2049]",9684,300
2025-02-27T07:03:39.112000+00:00,63,31.071,40.848,23.282,235,266,False,95.201,3,1253,"[None, 2049, 2049, 2051, 2049, 2051, 2051, 2049, 2048, 2051]","[2051, 2051, 2051, 2051, 2051, 2051, 2049, 2049, 2051, 2051, 2051]","[2051, 2051, 2051, 2051, 2051, 2051, 0]",9684,290
2025-02-27T07:07:49.155000+00:00,31,32.861,44.367,31.789,215,246,False,109.017,3,1253,"[None, 2049, 2048, 2049, 2049, 2049, 2048, 2048, 2049, 2048]","[2049, 2049, 2049, 2048, 2049, 2048, 2048, 2048, 2049, 2048, 2049]","[2049, 2048, 2048, 2048, 2048, 2048, 2064]",9684,283
2025-02-27T07:07:52.852000+00:00,30,32.12,41.827,23.904,232,260,False,97.851,3,1253,"[None, 2049, 2049, 2048, 2048, 2049, 2049, 2049, 2048, 2049]","[2049, 2049, 2049, 2051, 2048, 2049, 2049, 2048, 2048, 2049, 2048]","[2048, 2049, 2049, 2049, 2049, 2049, 0]",9684,291
2025-02-27T07:09:42.141000+00:00,44,30.387,40.056,23.909,237,268,False,94.352,3,1253,"[None, 2049, 2049, 2049, 2051, 2049, 2051, 2049, 2051, 2051]","[2051, 2051, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2051, 2051]","[2051, 2048, 2048, 2049, 2049, 2048, 0]",9684,292
2025-02-27T07:09:56.181000+00:00,22,41.886,51.164,37.826,212,172,False,130.876,3,1253,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",9684,272
2025-02-27T07:21:10.001000+00:00,81,,47.388,30.355,198,200,True,,3,1253,"[None, 2064, 2064, 2048, 2048, 2049, 2048, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2048, 2049, 2049, 2048, 2048]","[2049, 2049, 2048, 2048, 2049, 2049, 2064]",9684,139
2025-02-27T07:23:28.043000+00:00,55,,42.357,24.893,198,253,True,,3,1253,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2051, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2049]",9684,116
2025-02-27T07:26:07.750000+00:00,14,,46.335,28.476,219,225,True,,3,1253,"[2064, 2064, 2064, 2048, 2048, 2049, 2048, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2048, 2048, 2048, 2049, 2049, 2049]",9684,176
2025-02-27T07:31:41.832000+00:00,10,,46.171,29.946,200,212,True,,3,1253,"[None, 2064, 2064, 2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2064]",9684,181
2025-02-27T12:16:31.620000+00:00,16,47.784,70.33,30.329,123,162,False,148.443,3,1253,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",9684,177
2025-02-27T12:17:07.031000+00:00,87,31.185,41.248,23.738,226,258,False,96.171,3,1253,"[None, 2049, 2048, 2048, 2049, 2049, 2049, 2048, 2048, 2048]","[2048, 2048, 2049, 2049, 2048, 2049, 2049, 2048, 2049, 2048, 2048]","[2048, 2049, 2049, 2048, 2048, 2048, 2049]",9684,287
2025-02-27T12:17:08.416000+00:00,6,34.328,41.766,23.584,207,254,False,99.678,3,1253,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048, 2048]","[2049, 2049, 2049, 2049, 2049, 2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",9684,293
2025-02-27T12:18:36.438000+00:00,12,42.332,53.171,35.672,85,182,False,131.175,3,1253,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",9684,225
2025-02-27T12:20:40.674000+00:00,7,42.152,59.544,26.025,96,195,False,127.721,3,1253,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2049]",9684,229
2025-02-27T12:36:57.816000+00:00,5,46.096,61.04,29.434,112,186,False,136.57,3,1253,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048]",9684,216
2025-02-27T12:52:39.592000+00:00,18,,46.19,24.784,234,248,True,,3,1253,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2049, 2049, 2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2049, 2049, 2048, 2048, 2048, 2049, 2049]",9684,182
2025-02-27T12:59:31.385000+00:00,4,43.666,66.128,24.233,130,219,False,134.027,3,1253,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",9684,191
2025-02-27T07:05:09.218000+00:00,27,31.629,41.862,24.081,233,259,False,97.572,4,1253,"[None, 2048, 2048, 2049, 2049, 2049, 2048, 2048, 2048, 2051]","[2048, 2049, 2048, 2049, 2049, 2049, 2048, 2048, 2048, 2049, 2049]","[2049, 2049, 2049, 2048, 2048, 2048, 2048]",9684,289
2025-02-27T07:05:14.346000+00:00,63,40.146,40.775,23.336,234,257,False,104.257,4,1253,"[None, 2049, 2049, 2051, 2051, 2051, 2048, 2048, 2048, 2048]","[2048, 2051, 2048, 2048, 2051, 2051, 2048, 2049, 2051, 2051, 2048]","[2048, 2051, 2048, 2051, 2051, 2048, 2048]",9684,
2025-02-27T07:09:30.661000+00:00,30,31.049,41.46,26.747,234,264,False,99.256,4,1253,"[None, 2049, 2049, 2051, 2049, 2049, 2049, 2048, 2049, 2049]","[2049, 2048, 2048, 2048, 2049, 2049, 2049, 2048, 2049, 2048, 2049]","[2049, 2048, 2048, 2048, 2048, 2048, 2064]",9684,293
2025-02-27T07:10:19.145000+00:00,31,73.073,42.32,24.075,229,255,True,139.468,4,1253,"[2064, 2064, 2064, 2048, 2048, 2048, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",9684,163
2025-02-27T07:11:16.533000+00:00,44,30.404,40.149,23.127,233,267,False,93.68,4,1253,"[None, 2048, 2048, 2051, 2051, 2048, 2048, 2048, 2051, 2048]","[2048, 2051, 2048, 2048, 2049, 2048, 2048, 2049, 2048, 2051, 2051]","[2048, 2049, 2051, 2049, 2049, 2051, 0]",9684,289
2025-02-27T07:21:48.666000+00:00,22,,50.278,28.386,221,138,True,,4,1253,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",9684,197
2025-02-27T07:25:30.956000+00:00,55,33.874,48.82,29.465,164,221,False,112.159,4,1253,"[2049, 2049, 2049, 2049, 2049, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",9684,308
